Station,Category,Issue,Name,Details
Gujarat Industries Power Company Limited,Control Room,Extra,Gujarat Industries Power Company Limited,Database has a control room here; none found in Word directory
Gujarat State Electricity Corporation Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Gujarat State Electricity Corporation Limited,Control Room,Extra,Gujarat State Electricity Corporation Limited,Database has a control room here; none found in Word directory
Gujarat State Electricity Corporation Limited- Phase II,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Gujarat State Electricity Corporation Limited- Phase II,Control Room,Extra,Gujarat State Electricity Corporation Limited- Phase II,Database has a control room here; none found in Word directory
INOX Green Energy Services Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
INOX Green Energy Services Limited,Control Room,Extra,INOX Green Energy Services Limited,Database has a control room here; none found in Word directory
Kadana,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Kadana,Control Room,Extra,12. Kadana,Database has a control room here; none found in Word directory
Kakrapar Atomic Power Station Stg-3 & 4,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Kakrapar Atomic Power Station Stg-3 & 4,Control Room,Extra,Kakrapar Atomic Power Station Stg 3 & 4,Database has a control room here; none found in Word directory
"Koyna, Pophali",Control Room,Missing,Control Room,Word lists a control room here; none found in database
"Koyna, Pophali",Control Room,Extra,"19. Koyna, Pophali",Database has a control room here; none found in Word directory
Mahindra Renewables Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Mahindra Renewables Private Limited,Control Room,Extra,Mahindra Renewables Private Limited,Database has a control room here; none found in Word directory
Manikheda,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Manikheda,Control Room,Extra,8. Manikheda,Database has a control room here; none found in Word directory
NLDC And RLDCs,Control Room,Missing,CONTROL ROOM,Word lists a control room here; none found in database
NLDC And RLDCs,Control Room,Extra,NLDC And RLDCs,Database has a control room here; none found in Word directory
NTPC Jhanor - Gandhar Solar PV Project,Control Room,Missing,Control Room,Word lists a control room here; none found in database
NTPC Jhanor - Gandhar Solar PV Project,Control Room,Extra,NTPC Jhanor - Gandhar Solar PV Project,Database has a control room here; none found in Word directory
NTPC Kawas Solar PV Project,Control Room,Missing,Control Room,Word lists a control room here; none found in database
NTPC Kawas Solar PV Project,Control Room,Extra,NTPC Kawas Solar PV Project,Database has a control room here; none found in Word directory
Ostro Energy Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Ostro Energy Private Limited,Control Room,Extra,Ostro Energy Private Limited,Database has a control room here; none found in Word directory
Ostro Kutch Wind Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
